Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-11-28T02:30:51.992Z","Included","auto","No","40144","0","453120","5259","498523","0.20"
"2025-11-28T02:30:12.739Z","Included","auto","No","361","0","10240","0","10601","0.003"
"2025-11-28T02:24:13.540Z","Included","auto","No","4270","0","246016","660","250946","0.07"
"2025-11-28T02:20:06.798Z","Included","auto","No","21471","0","343040","9632","374143","0.17"
"2025-11-28T02:11:18.735Z","Included","auto","No","51286","0","451328","8632","511246","0.23"
"2025-11-28T02:07:41.441Z","Included","auto","No","50328","0","175360","5286","230974","0.14"
"2025-11-28T01:52:25.529Z","Included","auto","No","38873","0","420864","6903","466640","0.20"
"2025-11-28T01:50:34.035Z","Included","auto","No","32862","0","475648","4151","512661","0.18"
"2025-11-28T01:48:13.898Z","Included","auto","No","37246","0","241152","3785","282183","0.13"
"2025-11-27T12:24:21.924Z","Included","auto","No","17316","0","608768","4416","630500","0.20"
"2025-11-27T12:19:25.475Z","Included","auto","No","14106","0","421888","3520","439514","0.14"
"2025-11-27T12:14:18.697Z","Included","auto","No","59168","0","504576","8095","571839","0.25"
"2025-11-27T12:13:53.661Z","Included","auto","No","594","0","10240","0","10834","0.003"
"2025-11-27T12:10:38.432Z","Included","auto","No","6961","0","160768","2495","170224","0.06"
"2025-11-27T12:06:26.471Z","Included","auto","No","14450","0","99328","3568","117346","0.06"
"2025-11-27T11:55:46.300Z","Included","auto","No","9461","0","193792","2489","205742","0.08"
"2025-11-27T11:53:46.057Z","Included","auto","No","22158","0","183552","799","206509","0.08"
"2025-11-27T11:37:15.066Z","Included","auto","No","32221","167","231168","4065","267621","0.12"
"2025-11-27T11:14:31.744Z","Included","auto","No","20707","0","235520","3630","259857","0.11"
"2025-11-27T09:46:58.109Z","Included","auto","No","10281","0","402176","2057","414514","0.13"
"2025-11-27T09:41:43.415Z","Included","auto","No","72606","0","908544","6538","987688","0.36"
"2025-11-27T09:26:30.730Z","Included","auto","No","12827","0","349184","2786","364797","0.12"
"2025-11-27T09:24:23.850Z","Included","auto","No","19301","0","192000","2090","213391","0.08"
"2025-11-27T09:19:44.868Z","Included","auto","No","22910","0","352512","3812","379234","0.14"
"2025-11-27T09:17:18.953Z","Included","auto","No","8179","0","82432","1377","91988","0.04"
"2025-11-27T09:09:54.727Z","Included","auto","No","8833","0","533504","2858","545195","0.16"
"2025-11-27T09:07:29.108Z","Included","auto","No","11785","0","590848","3054","605687","0.18"
"2025-11-27T09:03:45.697Z","Included","auto","No","9711","0","456448","3579","469738","0.15"
"2025-11-27T08:59:20.811Z","Included","auto","No","37547","0","311296","4797","353640","0.15"
